coffee_id,name,roaster,origin_country,region,producer,farm,process,variety,roast_level,tasting_notes,description,price,currency,weight_g,brew_methods,source_url,source_file,price_per_kg
ethiopia-shoondhisa-natural-651213532c35,Ethiopia Shoondhisa - Natural,,Ethiopia,,,,natural,['gibrianna 74110 & serto 74112'],unknown,[],"Ethiopia Shoondhisa - Natural Origin - Ethiopia Variety - Gibrianna 74110 & Serto 74112 Roast - Filter or Espresso Process Method - Natural Roast Date (Standard 0-6 Weeks) - Roast Date (Rested) - Fresh Filter 17/09 Roast! Description This Natural processed Ethiopia from Guji provides a rich mouthfeel with classic sweetness. Perfect for those who prefer a fruitier long black, or americano, with all the sweetness you need. An easy-going roast for all coffee lovers, or a great introduction to those looking to delve into specialty. What is the roast recency? We recommend brewing with beans that are at least two weeks off roast. All beans are roasted to peak flavour at around 6-12 weeks. We have the option to either purchase standard beans (at least 2 weeks but no longer than 6 weeks off roast), or rested beans (at least 7 weeks off roast, no longer than 12 - should we have any left in stock!). For peak flavour, if you are looking to use immediately, we recommend purchasing the rested beans. If you are adding to your rotation of beans, we recommend purchasing the standard and allowing the beans to naturally rest and mature whilst you rotate through other beans. What does 'Filter' or 'Espresso' Roast mean? Typically filter is roasted lighter than espresso, though this is not always the case. Several factors play into what brands a Manhattan coffee as 'filter' or 'espresso', which includes the roast profile - i.e. how the beans are roasted, not just how developed a roast it is. It doesn't preclude you from using the beans for espresso though!",,GBP,,"[<BrewMethod.ESPRESSO: 'espresso'>, <BrewMethod.FILTER: 'filter'>]",,data/raw/sigmacoffee.co.uk_collections_single-origin_products_manhattan-roasters-ethiopia-shoondhisa-natural.txt,
manhattan-roasters-kenya-kegwa-aa-5d03c035dd6b,Manhattan Roasters - Kenya Kegwa AA,,Kenya,,,,washed,"['sl28', 'sl34 & ruiru 11']",unknown,[],"Manhattan Roasters - Kenya Kegwa AA Origin - Kenya Variety - SL28, SL34 & Ruiru 11 Roast - 'Filter' Process Method - Washed In Stock! Description Washed Kenyas are becoming a darling of the industry, with great acidity in the front balanced with a round mouthfeel. This example - a blend of SL28, 34 and Ruiru - benefits from volcanic rich soil, high altitude and is collected from over a thousand small holders who are involved in bringing cherries to the collective. The collective harvest is then pulped and fermented for 12-16 hours, the parchment washed and soaked for 12-24 hours before being dried on raised beds for 10-14 days, tended to by the workers who carefully oversee the process. Roasted to highlight the fantastic acidity the SL varieties have to offer, what results in the cup is a balanced, but acidic-forward, brew with hints of black forrest fruits and juicy mouthfeel. What is the roast recency? We recommend brewing with beans that are at least two weeks off roast. All beans are roasted to peak flavour at around 6-12 weeks. We have the option to either purchase standard beans (at least 2 weeks but no longer than 6 weeks off roast), or rested beans (at least 7 weeks off roast, no longer than 12 - should we have any left in stock!). For peak flavour, if you are looking to use immediately, we recommend purchasing the rested beans. If you are adding to your rotation of beans, we recommend purchasing the standard and allowing the beans to naturally rest and mature whilst you rotate through other beans. What does 'Filter' or 'Espresso' Roast mean? Typically filter is roasted lighter than espresso, though this is not always the case. Several factors play into what brands a Manhattan coffee as 'filter' or 'espresso', which includes the roast profile - i.e. how the beans are roasted, not just how developed a roast it is. It doesn't preclude you from using the beans for espresso though!",,GBP,,"[<BrewMethod.ESPRESSO: 'espresso'>, <BrewMethod.FILTER: 'filter'>]",,data/raw/sigmacoffee.co.uk_collections_single-origin_products_manhattan-roasters-kenya-kegwa-aa.txt,
alex-bermudez-finca-el-paraiso-cinnamon-leche-1c057cc02baf,Alex Bermudez | Finca El Paraiso - Cinnamon Leche,,Colombia,,,,anaerobic,['castillo'],unknown,[],"By Native Alex Bermudez | Finca El Paraiso - Cinnamon Leche Origin - Colombia Variety - Castillo Sensory - CINNAMON, APPLE, HORCHATA, CHOCOLATE, CREAMY Process Method - Double Anaerobic Thermal Shock Roast Date (Standard 0-6 Weeks) - Roast Date (Rested) - Description Cinnamon Leche sits on the 'Top Shelf' level from Native. With cherries sourced from the famed Finca El Paraiso. Cinnamon Leche benefits from a double anaerobic thermal shock Castillio together with a roast profile to produce a sensory combination of deep cinnamon, roasted apple, chocolate and double cream Think of traditional Christmas Markets, the roasted nuts and cinnamon. Add some creamy mouthfeel and this is Cinnamon Leche. What is the roast recency? Native recommend brewing with beans that are at least two to three weeks off roast. All beans are roasted to peak flavour at around 6-9 weeks. We have the option to either purchase standard beans (no longer than 6 weeks off roast), or rested beans (at least 7 weeks off roast, no longer than 12 - should we have any left in stock!). For peak flavour, if you are looking to use immediately, we recommend purchasing the rested beans. If you are adding to your rotation of beans, we recommend purchasing the standard and allowing the beans to naturally rest and mature whilst you rotate through other beans. Filter or Espresso? Both! All of Native's coffees are profiled to be as fantastic in filter as they are in espresso.",,GBP,,"[<BrewMethod.ESPRESSO: 'espresso'>, <BrewMethod.FILTER: 'filter'>]",,data/raw/sigmacoffee.co.uk_collections_single-origin_products_native-alex-bermudez-finca-el-paraiso-cinnamon-leche.txt,
diego-bermudez-hachi-spiced-citrus-57d47f0049a4,Diego Bermudez | HACHI - Spiced Citrus,,Colombia,,,,anaerobic,['castillo'],unknown,[],"By Native Diego Bermudez | HACHI - Spiced Citrus Origin - Colombia Variety - Castillo Sensory - SPRITE, GINGER, LEMONGRASS, LIME, BLACK TEA Process Method - Double Anaerobic Thermal Shock Roast Date (Standard 0-6 Weeks) - Roast Date (Rested) - Description Spiced Citrus sits on the 'Top Shelf' level from Native. With a fully double anaerobic thermal shock castillio and a roast profile to give a killer combination of ginger, lemongrass and black tea with a hint of lime acidity at the back. What is the roast recency? Native recommend brewing with beans that are at least two to three weeks off roast. All beans are roasted to peak flavour at around 6-9 weeks. We have the option to either purchase standard beans (no longer than 6 weeks off roast), or rested beans (at least 7 weeks off roast, no longer than 12 - should we have any left in stock!). For peak flavour, if you are looking to use immediately, we recommend purchasing the rested beans. If you are adding to your rotation of beans, we recommend purchasing the standard and allowing the beans to naturally rest and mature whilst you rotate through other beans. Filter or Espresso? Both! All of Native's coffees are profiled to be as fantastic in filter as they are in espresso.",,GBP,,"[<BrewMethod.ESPRESSO: 'espresso'>, <BrewMethod.FILTER: 'filter'>]",,data/raw/sigmacoffee.co.uk_collections_single-origin_products_native-diego-bermudez-hachi-spiced-citrus.txt,
diego-bermudez-chocolate-strudel-30e1cfc8cb1d,Diego Bermudez - Chocolate Strudel,,Colombia,,,,washed,['castillo'],unknown,[],"By Native Diego Bermudez - Chocolate Strudel Origin - Colombia Variety - Castillo Sensory - SWEET CHOCOLATE, BAKED APPLE, BAKING SPICES Process Method - Washed Roast Date (Standard 0-6 Weeks) - Roast Date (Rested) - Description Chocolate strudel is the base level from Native - the workhorse, if you will. A washed castillo, roasted to hit chocolate notes and freshly baked cookies with a hit of funk at the back. Expect sweet chocolate, stewed apple, baking spices. What is the roast recency? Native recommend brewing with beans that are at least two to three weeks off roast. All beans are roasted to peak flavour at around 6-9 weeks. We have the option to either purchase standard beans (no longer than 6 weeks off roast), or rested beans (at least 7 weeks off roast, no longer than 12 - should we have any left in stock!). For peak flavour, if you are looking to use immediately, we recommend purchasing the rested beans. If you are adding to your rotation of beans, we recommend purchasing the standard and allowing the beans to naturally rest and mature whilst you rotate through other beans. Filter or Espresso? Both! All of Native's coffees are profiled to be as fantastic in filter as they are in espresso.",,GBP,,"[<BrewMethod.ESPRESSO: 'espresso'>, <BrewMethod.FILTER: 'filter'>]",,data/raw/sigmacoffee.co.uk_collections_single-origin_products_native-diego-chocolatestrudel.txt,
colombia-diego-horta-natural-0d8ec722cc52,Colombia Diego Horta Natural,,Colombia,,,,anaerobic_natural,['mixed'],light,[],"By Onyx Coffee Colombia Diego Horta Natural Origin - Colombia Variety - Mixed Roast - Ag #111, Light Process Method - Anaerobic Natural Roast Date (Standard 0-6 Weeks) - Roast Date (Rested) - Rested and Fresh Available! Description After 36 hours of oxygen-deprived fermentation, the fruit is then dried for nearly three weeks on raised beds and patios. What results in the cup reflects the journey these beans have gone through, with fruit-forward funky notes. What is the roast recency? Onyx recommend brewing with beans that are at least two weeks off roast. All beans are roasted to peak flavour at around 8-12 weeks. We have the option to either purchase standard beans (at least 2 weeks but no longer than 6 weeks off roast), or rested beans (at least 7 weeks off roast, no longer than 12). For peak flavour, if you are looking to use immediately, we recommend purchasing the rested beans. If you are adding to your rotation of beans, we recommend purchasing the standard and allowing the beans to naturally rest and mature whilst you rotate through other beans.",,GBP,,[],,data/raw/sigmacoffee.co.uk_collections_single-origin_products_onyx-coffee-colombia-diego-horta-natural.txt,
onyx-coffee-colombia-nestor-lasso-ombligon-experimental-a8306c16d7ea,Onyx Coffee - Colombia Nestor Lasso Ombligon Experimental,,Colombia,,,,anaerobic_natural,['ombligon'],light,[],"Onyx Coffee - Colombia Nestor Lasso Ombligon Experimental Origin - Colombia, Finca El Diviso Variety - Ombligon Roast - Ag #75, Light Process Method - Anaerobic Natural Description A truly modern and innovative coffee, crafted by Nestor Lasso where the lot earned its place at the top—featuring as the number one coffee at the World Barista Championship 2022. Finca El Diviso is renowned for producing competition-winning coffees, celebrated on both national and international stages. This exceptional micro-lot undergoes a meticulous multi-stage oxidation and fermentation process. It begins with a four-day fermentation after depulping and washing, followed by a 60-hour fermentation in a tank. Next comes a unique thermal shock fermentation in a sealed, pressurized tank, where carefully selected inoculates are introduced. Finally, the parchment coffee is dried for 16 days. The result? A cup bursting with vibrant fruit character, funky fermentation notes, and a layered balance of sweetness and tart acidity—reminiscent of ripened raspberries. Experience this championship-winning coffee for yourself. What is the roast recency? Onyx recommend brewing with beans that are at least two weeks off roast. All beans are roasted to peak flavour at around 8-12 weeks. We have the option to either purchase standard beans (at least 2 weeks but no longer than 6 weeks off roast), or rested beans (at least 7 weeks off roast, no longer than 12). For peak flavour, if you are looking to use immediately, we recommend purchasing the rested beans. If you are adding to your rotation of beans, we recommend purchasing the standard and allowing the beans to naturally rest and mature whilst you rotate through other beans.",,GBP,,[],,data/raw/sigmacoffee.co.uk_collections_single-origin_products_onyx-coffee-colombia-nestor-lasso-ombligon-experimental.txt,
onyx-coffee-el-salvador-santa-rosa-honey-848450b58af5,Onyx Coffee - El Salvador Santa Rosa Honey,,El Salvador,,,,honey,['pacamara'],light,[],"Onyx Coffee - El Salvador Santa Rosa Honey Origin - El Salvador Variety - Pacamara Roast - Ag #75, Light Process Method - Red Honey In stock! Description This modern roast of Pacamara from Finca Santa Rosa has Concord Grape at the centre of the cup's aroma and flavour profile. The competition predecessor to Gesha, Pacamara used to feature in many champion brewers' selection, now you can get stuck into this 'Red' Honey processed coffee at home, with high sweetness and delicate florals at the front, and a rich dark chocolate finish. What is the roast recency? Onyx recommend brewing with beans that are at least two weeks off roast. All beans are roasted to peak flavour at around 8-12 weeks. We have the option to either purchase standard beans (at least 2 weeks but no longer than 6 weeks off roast), or rested beans (at least 7 weeks off roast, no longer than 12). For peak flavour, if you are looking to use immediately, we recommend purchasing the rested beans. If you are adding to your rotation of beans, we recommend purchasing the standard and allowing the beans to naturally rest and mature whilst you rotate through other beans.",,GBP,,[],,data/raw/sigmacoffee.co.uk_collections_single-origin_products_onyx-coffee-el-salvador-santa-rosa-honey.txt,
origin-equador-415f719c8457,Origin - Equador,,Equador,,,,anaerobic_natural,['sidra'],light,[],"By Onyx Coffee Origin - Equador Variety - Sidra Roast - Ag #140.1, Super Light Process Method - Anaerobic Natural Roast Date (Standard 0-6 Weeks) - Roast Date (Rested) - Description Sidra is a new hybrid variety of Bourbon and Typica, resulting in a harmonious blend of the sweetness from Bourbon and the crisp acidity of Typica. This delicately roasted Sidra is cultivated on a four-hectare plot of land in Equador - Pepe Jijon's farm, Finca Soledad. Shrouded under a forest of trees is the plantation. Pepe himself roasts for businesses and friends in Equador, it is obvious that farming is as important to him as roasting, tasting and enjoying the fruits of his labour. The love and attention Pepe gives in processing and drying this example of Sidra is evident in the cup quality. Expect merlot body and minerality, with delicate Jasmine and Plum sweetness What is the roast recency? Onyx recommend brewing with beans that are at least two weeks off roast. All beans are roasted to peak flavour at around 8-12 weeks. We have the option to either purchase standard beans (at least 2 weeks but no longer than 6 weeks off roast), or rested beans (at least 7 weeks off roast, no longer than 12). For peak flavour, if you are looking to use immediately, we recommend purchasing the rested beans. If you are adding to your rotation of beans, we recommend purchasing the standard and allowing the beans to naturally rest and mature whilst you rotate through other beans.",,GBP,,[],,data/raw/sigmacoffee.co.uk_collections_single-origin_products_onyx-coffee-equador-la-soledad-sidra.txt,
kenya-kevote-ad240bdfde00,Kenya Kevote,,Kenya,,,,washed,"['sl28', 'sl34', 'ruiru 11']",light,[],"By Onyx Coffee Kenya Kevote Origin - Kenya Variety - SL28, SL34, Ruiru 11 Roast - Ag 75, light Process Method - Dry Washed Roast Date (Standard 0-6 Weeks) - Roast Date (Rested) - Description Citric-acidity-forward boasts blackberry and papaya notes, this Kenya AA sized lot is grown in Embu country and roasted light. Light doesn't mean no espresso, this Kenyan is expressed as gorgeously in filter as it is in espresso. Expect bright citrusy acidity in the front, with light summer fruits in the finish What is the roast recency? Onyx recommend brewing with beans that are at least two weeks off roast. All beans are roasted to peak flavour at around 8-12 weeks. We have the option to either purchase standard beans (at least 2 weeks but no longer than 6 weeks off roast), or rested beans (at least 7 weeks off roast, no longer than 12). For peak flavour, if you are looking to use immediately, we recommend purchasing the rested beans. If you are adding to your rotation of beans, we recommend purchasing the standard and allowing the beans to naturally rest and mature whilst you rotate through other beans.",,GBP,,"[<BrewMethod.ESPRESSO: 'espresso'>, <BrewMethod.FILTER: 'filter'>]",,data/raw/sigmacoffee.co.uk_collections_single-origin_products_onyx-coffee-kenya-kevote.txt,
emiliano-lame-gesha-washed-copa-de-oro-2-colombia-54c04ca394d4,"Emiliano Lame Gesha Washed, Copa De Oro #2 | Colombia",,Colombia,,,,anaerobic,['gesha'],light,['🌼 elderflower — pronounced floral notes emerging as the coffee cools'],"Emiliano Lame Gesha Washed, Copa De Oro #2 | Colombia Origin - Colombia, La Plata Variety - Gesha Roast - Omniroast; generally light Process Method - Washed Roast Date (Standard 0-6 Weeks) - Roast Date (Rested) - Description Colombia — Emiliano Lame Gesha Tastes Like — 🌼 Elderflower • 🍋 Matcha Lemonade • 🍊 Ruby Grapefruit DETAILS - Producer: Emiliano Lame - Farm: Finca El Holguín - Region: La Esperanza, La Plata, Huila, Colombia - Varietal: Gesha - Process: Washed (36-hour cherry hold, 40-hour underwater fermentation) - Altitude: 1880 masl - Size: 125g INTRO — Copa de Oro Second Place Winner Emiliano Lame's Gesha secured second place in the Copa de Oro (Cup of Gold) competition—testament to both exceptional terroir at 1,880 metres and meticulous processing that included a 36-hour held-in-cherry step followed by 40 hours of underwater fermentation. The cup delivers exactly what you'd expect from competition-calibre Gesha: lively candied lemon peel alongside sweet matcha flavours that combine like matcha lemonade, loud florals (elderflower, lilac, jasmine) emerging as it cools, finishing with ruby red grapefruit and white tea. Finca El Holguín in La Esperanza dedicates just four hectares to specialty coffee production, with the remainder planted to Caturra, Colombia variety, beans, and tomatoes sold locally. This diversified approach provides economic stability whilst allowing Emiliano to focus quality efforts on the specialty coffee acreage—producing competition-winning lots like this one. THE PRODUCER — Emiliano Lame & Finca El Holguín Emiliano Lame manages Finca El Holguín at 1,880 metres above sea level in La Esperanza, La Plata, Huila. The farm's modest four-hectare specialty coffee allocation demonstrates that exceptional quality doesn't require massive scale—it requires expertise, attention to detail, and willingness to invest in varieties and processing that command premium prices. Growing Gesha alongside more traditional varieties like Caturra and Colombia shows strategic thinking. Gesha provides the competition-winning, premium lots that generate headlines and top prices. Caturra and Colombia offer more reliable yields and easier cultivation, providing baseline income whilst the Gesha trees mature and produce their exceptional but lower-volume harvests. The diversification beyond coffee—beans and tomatoes sold locally—represents practical risk management. Coffee prices fluctuate, harvests vary, and putting all agricultural effort into one crop creates vulnerability. By maintaining multiple revenue streams, Emiliano ensures farm stability regardless of coffee market conditions. This second-place Copa de Oro finish validates Emiliano's approach. Competition success brings recognition, opens premium market access, and justifies the investment required to grow varieties like Gesha at this quality level. It also demonstrates that small-scale producers with limited specialty coffee acreage can compete with larger operations when they focus on e",,GBP,125.0,[],,data/raw/sigmacoffee.co.uk_products_shoebox-emiliano-lame-gesha-washed-copa-de-oro-2-colombia.txt,
ethiopia-bekele-yutute-natural-ethiopia-a8664b17e12b,Ethiopia Bekele Yutute Natural | Ethiopia,,Ethiopia,,Bekele Yutute,,natural,['74158'],unknown,"['violet 🌸', 'hibiscus 🌺', 'blackberry jam 🍇']","Ethiopia Bekele Yutute Natural | Ethiopia Origin - Ethiopia, Sidama Variety - 74158 Roast - 'Espresso' or 'Filter' Process Method - Natural Roast Date (Standard 0-6 Weeks) - Roast Date (Rested) - Description Details: - Origin: Ethiopia, Sidama - Producer: Bekele Yutute - Variety: JARC 74158 - Process: Natural - Elevation: Very high altitude (around ~2,300 m) - Bag Size: 125g - Roast: Filter - Tasting Notes: Violet 🌸 • Hibiscus 🌺 • Blackberry jam 🍇 Intro: Shoebox is thrilled to showcase Ethiopia Bekele Yutute Natural, a striking and expressive single‑origin coffee from the renowned Bensa region of Sidama, Ethiopia. This naturally processed lot embodies the vibrant fruit complexity and floral elegance that has made Bekele’s coffees sought‑after in specialty circles, offering a juicy and evolving cup that’s as captivating as it is nuanced. The Producer: At the heart of this microlot is Bekele Yutute, a celebrated producer and exporter whose attention to detail and quality has earned recognition — including multiple placements in Ethiopia’s Cup of Excellence competition over recent years. Working across family‑owned farms and drying stations throughout Bensa, Bekele has built a reputation for consistently clean, expressive natural coffees that beautifully reflect the region’s high‑altitude terroir and his dedication to craftsmanship. The Process: This coffee is crafted using a traditional natural process — ripe cherries are hand‑sorted and laid out whole to dry in the sun on raised African beds. The extended contact between fruit and bean during drying allows sugars and aromatic compounds to deeply influence the final cup profile. These careful drying methods, combined with meticulous sorting and handling, help develop the intense fruit character and floral complexity this lot is known for. The Cup: In the cup, Bekele Yutute Natural delights with rich and layered expression. When hot, delicate violet 🌸 and hibiscus 🌺 aromatics provide a fragrant, floral introduction. As the brew cools, the profile unfolds into juicy blackberry jam 🍇 and ripe mulberry 🍒 notes, creating a fruit‑rich sweetness that lingers beautifully. The overall experience is vibrant yet refined — a perfect showcase of Ethiopian natural coffee complexity. Overall: Shoebox's Ethiopia Bekele Yutute Natural is a standout filter coffee that celebrates the best of Sidama’s terroir and the meticulous craft of a seasoned producer. With its evolving fruit profile, floral aromatics, and deep sweetness, this lot offers an engaging and memorable specialty coffee experience. We recommend brewing with beans that are at least two weeks off roast. All beans are roasted to peak flavour at around 6-12 weeks. We have the option to either purchase standard beans (at least 2 weeks but no longer than 6 weeks off roast), or rested beans (at least 7 weeks off roast, no longer than 12 - should we have any left in stock!). For peak flavour, if you are looking to use immediately, we recommend purchasing the re",,GBP,125.0,"[<BrewMethod.ESPRESSO: 'espresso'>, <BrewMethod.FILTER: 'filter'>]",,data/raw/sigmacoffee.co.uk_products_shoebox-ethiopia-bekele-yutute-natural-ethiopia.txt,
rigoberto-s-nchez-pink-bourbon-washed-colombia-cdf068480fb5,Rigoberto Sánchez Pink Bourbon Washed | Colombia,,Colombia,,Rigoberto Sánchez,,washed,['pink bourbon'],light,"['mixed berries 🍓', 'lemon syrup 🍋', 'rose 🌹']","Rigoberto Sánchez Pink Bourbon Washed | Colombia Origin - Colombia, Pitalito, Huila Variety - Pink Bourbon Roast - Omniroast; generally light Process Method - Washed Roast Date (Standard 0-6 Weeks) - Roast Date (Rested) - Description Details: - Origin: Colombia, Huila, Palestina - Producer: Rigoberto Sánchez - Varietal: Pink Bourbon - Process: Washed (12 hrs held in cherry, depulped, 48 hrs dry fermentation without mucilage, dried on raised beds in a greenhouse) - Elevation: ~1,650 m - Bag Size: 125g - Roast: Filter - Tasting Notes: Mixed berries 🍓 • Lemon syrup 🍋 • Rose 🌹 Intro: Shoebox is excited to present Colombia Rigoberto Sánchez Pink Bourbon Washed, a vibrant and juicy single‑origin coffee from Huila’s celebrated terroir. This meticulously processed Pink Bourbon lot offers a beautifully balanced cup with bright stone fruit sweetness, zesty citrus lift, and lingering floral aromatics, making it a standout choice for filter brewing. The Producer: This coffee comes from Rigoberto Sánchez, a respected producer based in Palestina, Huila — one of Colombia’s most dynamic specialty coffee regions. Working with export partner LaREB, Rigoberto cultivates Pink Bourbon alongside other coffee varieties on fertile, high‑altitude slopes. His farm benefits from rich soils and abundant shade cover, promoting healthy tree growth and complex cherry development that contribute to the lot’s vibrant cup profile. The Process: The washed process for this lot begins with overripe cherry picking to ensure deep sweetness right from the start. After harvest, cherries are held 12 hours in‑cherry, fostering gentle fermentation. They are then depulped and fermented without mucilage for 48 hours in dry tanks, which builds structure without muddiness. Finally, the beans are dried slowly on raised beds in a greenhouse setting, stabilising flavours and preserving clarity. The Cup: In the cup, Rigoberto Sánchez Pink Bourbon Washed is expressive and juicy. Mixed berries 🍓 lead the way with sweet ripeness, balanced by lemon syrup 🍋‑like acidity that gives lift and brightness. On the finish, delicate rose 🌹 aromatics emerge, adding floral elegance and depth. Together, these elements create a lively yet refined profile that showcases both varietal clarity and processing precision. Overall: Shoebox’s Colombia Rigoberto Sánchez Pink Bourbon Washed is a beautifully articulated filter coffee that highlights the best of Pink Bourbon from Huila — combining fruit intensity, bright acidity, and refined floral notes into a nuanced, layered cup. It’s a perfect choice for those who appreciate coffee with vibrant character and a clean, expressive finish. What is the roast recency? We recommend brewing with beans that are at least two weeks off roast. All beans are roasted to peak flavour at around 6-12 weeks. We have the option to either purchase standard beans (at least 2 weeks but no longer than 6 weeks off roast), or rested beans (at least 7 weeks off roast, no longer than 12 - should we",,GBP,125.0,[<BrewMethod.FILTER: 'filter'>],,data/raw/sigmacoffee.co.uk_products_shoebox-rigoberto-sanchez-pink-bourbon-washed-colombia.txt,
